year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2382,443,145.89,18.34,150.06,2.83,125.88,49,7,25079,9537,1082,5213,391,8856
2010,1,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",440,33,11.88,1.72,16.27,0,3.13,0,0,1485,758,73,434,0,220
2010,1,B6,JetBlue Airways,LAX,"Los Angeles, CA: Los Angeles International",93,12,1.56,0.1,3.02,0,7.32,0,0,632,71,16,143,0,402
2010,1,CO,Continental Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",553,131,50.43,5.83,45.53,9.38,19.83,1,0,6021,2496,418,1255,621,1231
2010,1,DL,Delta Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1524,186,76.44,6.28,63.79,0,39.48,4,4,10147,4911,516,2168,0,2552
2010,1,F9,Frontier Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",172,29,8.68,0.8,12,0,7.52,0,0,1204,351,48,440,0,365
2010,1,FL,AirTran Airways Corporation,LAX,"Los Angeles, CA: Los Angeles International",164,44,9.7,1.74,15.26,0,17.3,0,0,2173,641,104,507,0,921
2010,1,HA,Hawaiian Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",60,17,9.95,0,1,0,6.05,0,0,1174,963,0,21,0,190
2010,1,MQ,American Eagle Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1281,184,14.43,4.06,57.22,0.81,107.48,35,3,9076,1107,203,1899,55,5812
2010,1,OO,SkyWest Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3570,648,85.04,12.21,201.13,2.53,347.08,79,2,32850,6017,808,6506,71,19448
2010,1,UA,United Air Lines Inc.,LAX,"Los Angeles, CA: Los Angeles International",1987,222,64.02,3.81,59.92,0,94.25,31,2,12281,3608,214,2088,0,6371
2010,1,US,US Airways Inc.,LAX,"Los Angeles, CA: Los Angeles International",493,102,34.51,0.05,47.94,0.09,19.41,10,0,3939,1576,12,1416,2,933
2010,1,WN,Southwest Airlines Co.,LAX,"Los Angeles, CA: Los Angeles International",3223,557,153.04,9.19,106.35,4.15,284.27,102,2,29552,6886,492,3940,96,18138
