"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2010,1,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",987.00,168.00,64.13,0.90,72.06,0.00,30.90,18.00,2.00,10351.00,4414.00,42.00,3801.00,0.00,2094.00,
2010,1,"B6","JetBlue Airways","JFK","New York, NY: John F. Kennedy International",3670.00,885.00,178.12,8.76,360.61,2.31,335.19,51.00,11.00,61392.00,13492.00,690.00,21478.00,129.00,25603.00,
2010,1,"DL","Delta Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",1636.00,345.00,79.54,14.81,204.01,0.00,46.65,16.00,0.00,18207.00,5310.00,1293.00,8163.00,0.00,3441.00,
2010,1,"MQ","American Eagle Airlines Inc.","JFK","New York, NY: John F. Kennedy International",713.00,144.00,21.50,4.09,67.84,1.15,49.42,35.00,2.00,8833.00,1140.00,274.00,4398.00,64.00,2957.00,
2010,1,"OH","Comair Inc.","JFK","New York, NY: John F. Kennedy International",1943.00,372.00,99.15,28.23,236.75,0.00,7.87,90.00,2.00,28627.00,8421.00,2319.00,17226.00,0.00,661.00,
2010,1,"UA","United Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",392.00,36.00,3.71,0.00,29.87,0.00,2.42,0.00,1.00,2806.00,266.00,0.00,2234.00,0.00,306.00,
2010,1,"US","US Airways Inc.","JFK","New York, NY: John F. Kennedy International",120.00,33.00,4.99,0.00,23.29,0.00,4.72,0.00,0.00,1840.00,218.00,0.00,1269.00,0.00,353.00,
2010,1,"YV","Mesa Airlines Inc.","JFK","New York, NY: John F. Kennedy International",101.00,24.00,9.00,1.00,14.00,0.00,0.00,0.00,0.00,1447.00,466.00,36.00,945.00,0.00,0.00,
2010,2,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",888.00,167.00,62.15,6.17,71.55,0.00,27.13,79.00,2.00,8049.00,3738.00,297.00,2391.00,0.00,1623.00,
2010,2,"B6","JetBlue Airways","JFK","New York, NY: John F. Kennedy International",3424.00,862.00,192.03,9.90,308.60,1.39,350.08,205.00,7.00,55340.00,11706.00,1117.00,16711.00,31.00,25775.00,
2010,2,"DL","Delta Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",1530.00,346.00,84.54,11.07,162.59,0.00,87.80,105.00,2.00,17547.00,4527.00,813.00,5943.00,0.00,6264.00,
2010,2,"EV","Atlantic Southeast Airlines","JFK","New York, NY: John F. Kennedy International",2.00,1.00,0.56,0.00,0.43,0.00,0.01,0.00,0.00,82.00,46.00,0.00,35.00,0.00,1.00,
2010,2,"MQ","American Eagle Airlines Inc.","JFK","New York, NY: John F. Kennedy International",644.00,99.00,12.39,1.64,50.69,0.00,34.28,95.00,0.00,6538.00,732.00,53.00,3662.00,0.00,2091.00,
2010,2,"OH","Comair Inc.","JFK","New York, NY: John F. Kennedy International",1838.00,344.00,115.58,48.12,163.38,0.37,16.55,343.00,0.00,23197.00,8330.00,5059.00,9080.00,15.00,713.00,
2010,2,"UA","United Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",359.00,45.00,13.36,7.83,17.11,0.00,6.71,26.00,2.00,3303.00,626.00,1909.00,486.00,0.00,282.00,
2010,2,"US","US Airways Inc.","JFK","New York, NY: John F. Kennedy International",111.00,23.00,4.48,0.00,17.32,0.00,1.21,11.00,1.00,773.00,209.00,0.00,527.00,0.00,37.00,
2010,2,"YV","Mesa Airlines Inc.","JFK","New York, NY: John F. Kennedy International",98.00,27.00,17.00,1.00,4.10,0.00,4.90,23.00,1.00,1823.00,1372.00,25.00,171.00,0.00,255.00,
2010,3,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",988.00,358.00,88.80,5.77,223.19,0.00,40.24,38.00,15.00,20531.00,7407.00,680.00,9173.00,0.00,3271.00,
2010,3,"B6","JetBlue Airways","JFK","New York, NY: John F. Kennedy International",3959.00,922.00,203.36,4.48,417.07,3.26,293.83,181.00,19.00,55194.00,12736.00,515.00,19460.00,142.00,22341.00,
2010,3,"DL","Delta Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",1734.00,553.00,107.43,14.90,360.47,0.00,70.20,56.00,22.00,25837.00,6832.00,794.00,12711.00,0.00,5500.00,
2010,3,"EV","Atlantic Southeast Airlines","JFK","New York, NY: John F. Kennedy International",61.00,9.00,2.24,0.00,3.89,0.00,2.87,2.00,0.00,534.00,235.00,0.00,217.00,0.00,82.00,
2010,3,"MQ","American Eagle Airlines Inc.","JFK","New York, NY: John F. Kennedy International",713.00,216.00,9.45,1.18,156.38,0.00,49.00,36.00,1.00,11183.00,537.00,96.00,7454.00,0.00,3096.00,
2010,3,"OH","Comair Inc.","JFK","New York, NY: John F. Kennedy International",2050.00,555.00,124.85,34.88,383.50,0.00,11.77,127.00,5.00,30975.00,9411.00,2838.00,17968.00,0.00,758.00,
2010,3,"UA","United Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",393.00,84.00,14.06,0.00,58.72,0.00,11.22,3.00,0.00,5185.00,610.00,0.00,4040.00,0.00,535.00,
2010,3,"US","US Airways Inc.","JFK","New York, NY: John F. Kennedy International",124.00,64.00,4.97,0.00,53.21,0.44,5.38,2.00,1.00,3174.00,115.00,0.00,2673.00,11.00,375.00,
2010,3,"YV","Mesa Airlines Inc.","JFK","New York, NY: John F. Kennedy International",58.00,18.00,3.00,0.00,13.00,0.00,2.00,5.00,0.00,1496.00,192.00,0.00,1079.00,0.00,225.00,
2010,4,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",932.00,157.00,66.63,0.69,68.68,0.00,21.00,8.00,13.00,9136.00,5752.00,43.00,1947.00,0.00,1394.00,
2010,4,"B6","JetBlue Airways","JFK","New York, NY: John F. Kennedy International",3745.00,457.00,116.19,4.02,159.91,2.98,173.91,35.00,10.00,28101.00,8374.00,409.00,8546.00,88.00,10684.00,
2010,4,"DL","Delta Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",1574.00,303.00,78.51,7.44,163.83,0.95,52.28,5.00,9.00,15249.00,5628.00,488.00,6115.00,36.00,2982.00,
2010,4,"EV","Atlantic Southeast Airlines","JFK","New York, NY: John F. Kennedy International",98.00,12.00,3.47,0.00,4.74,0.00,3.79,0.00,0.00,966.00,547.00,0.00,191.00,0.00,228.00,
2010,4,"MQ","American Eagle Airlines Inc.","JFK","New York, NY: John F. Kennedy International",690.00,107.00,8.57,0.69,79.60,0.00,18.15,8.00,2.00,5860.00,379.00,14.00,4589.00,0.00,878.00,
2010,4,"OH","Comair Inc.","JFK","New York, NY: John F. Kennedy International",1713.00,328.00,95.43,3.25,213.36,0.00,15.96,21.00,0.00,19146.00,7235.00,326.00,10399.00,0.00,1186.00,
2010,4,"UA","United Air Lines Inc.","JFK","New York, NY: John F. Kennedy International",381.00,33.00,10.77,0.00,14.65,1.60,5.99,2.00,0.00,1437.00,547.00,0.00,446.00,110.00,334.00,
2010,4,"US","US Airways Inc.","JFK","New York, NY: John F. Kennedy International",120.00,21.00,3.49,0.00,16.42,0.00,1.09,0.00,0.00,845.00,121.00,0.00,644.00,0.00,80.00,
