"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2010,1,"9E","Pinnacle Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1067.00,271.00,42.76,9.40,156.06,0.00,62.78,46.00,4.00,15932.00,4225.00,1098.00,6092.00,0.00,4517.00,
2010,1,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",524.00,75.00,31.23,8.31,19.42,0.00,16.04,21.00,2.00,3825.00,1613.00,449.00,818.00,0.00,945.00,
2010,1,"AS","Alaska Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",31.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,93.00,0.00,0.00,93.00,0.00,0.00,
2010,1,"CO","Continental Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",148.00,30.00,7.30,1.55,14.46,1.45,5.24,2.00,0.00,1472.00,227.00,39.00,901.00,32.00,273.00,
2010,1,"DL","Delta Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",12706.00,1925.00,463.26,73.66,933.45,2.00,452.63,370.00,37.00,136387.00,46261.00,7968.00,52617.00,77.00,29464.00,
2010,1,"EV","Atlantic Southeast Airlines","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",12006.00,2273.00,364.52,113.69,927.37,5.14,862.29,512.00,13.00,149297.00,32599.00,11321.00,53001.00,163.00,52213.00,
2010,1,"F9","Frontier Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",89.00,11.00,1.72,0.00,5.43,0.00,3.85,0.00,1.00,459.00,62.00,0.00,173.00,0.00,224.00,
2010,1,"FL","AirTran Airways Corporation","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",5731.00,934.00,141.96,13.47,402.28,0.00,376.30,137.00,15.00,58056.00,11318.00,984.00,22705.00,0.00,23049.00,
2010,1,"MQ","American Eagle Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",57.00,16.00,7.09,3.17,3.54,0.00,2.21,2.00,0.00,1014.00,458.00,162.00,163.00,0.00,231.00,
2010,1,"OH","Comair Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",337.00,125.00,47.49,4.55,66.22,0.77,5.98,32.00,1.00,6635.00,3549.00,328.00,2522.00,20.00,216.00,
2010,1,"OO","SkyWest Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",143.00,32.00,3.08,1.18,17.75,0.00,9.99,3.00,0.00,1410.00,67.00,60.00,709.00,0.00,574.00,
2010,1,"UA","United Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",61.00,15.00,4.92,0.00,5.00,0.00,5.08,1.00,0.00,613.00,185.00,0.00,175.00,0.00,253.00,
2010,1,"US","US Airways Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",396.00,76.00,12.81,0.29,48.58,0.00,14.32,12.00,1.00,3278.00,643.00,12.00,1860.00,0.00,763.00,
2010,1,"XE","ExpressJet Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",289.00,82.00,22.25,1.94,36.08,0.44,21.29,4.00,0.00,4354.00,835.00,84.00,1573.00,11.00,1851.00,
