year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2010,1,9E,Pinnacle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",126,27,9.13,0,10.81,0,7.06,3,0,1603,731,0,335,0,537
2010,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4988,711,162.66,26.9,341.27,1,179.17,164,8,35392,11260,1656,11677,37,10762
2010,1,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",121,53,7.61,1.22,43.94,0,0.23,1,0,2192,427,70,1688,0,7
2010,1,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",155,34,8.12,0.38,20.67,0,4.83,2,1,1659,373,8,859,0,419
2010,1,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",326,53,19.48,1.26,19.06,3.42,9.78,3,0,2322,1016,66,762,62,416
2010,1,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",517,98,37.13,7.63,40.47,0,12.76,11,0,4597,1586,1042,1235,0,734
2010,1,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",29,6,3.14,0.47,1.38,0,1,2,0,200,87,16,42,0,55
2010,1,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6598,1697,214.32,52.49,652.52,0.09,777.57,299,2,99273,23662,4770,26102,4,44735
2010,1,OH,Comair Inc.,ORD,"Chicago, IL: Chicago O'Hare International",145,27,13.72,3.76,8.52,0,1,7,0,1685,964,368,337,0,16
2010,1,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4197,1102,109.61,14.96,495.93,0.93,480.57,176,2,56570,6806,1380,20984,27,27373
2010,1,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5001,649,160.5,14.14,259.14,1,214.22,137,4,35053,8546,936,9496,37,16038
2010,1,US,US Airways Inc.,ORD,"Chicago, IL: Chicago O'Hare International",630,134,40.47,0.35,76.38,0.23,16.57,18,0,5418,1894,29,2816,7,672
2010,1,XE,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",714,156,26.74,1.75,75.46,0.15,51.9,19,2,8597,1467,90,3285,3,3752
2010,1,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1913,417,215,46,153,1,2,85,1,25140,14782,2848,7282,55,173
2010,2,9E,Pinnacle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",85,21,6.73,0.22,9.52,0,4.53,8,0,1176,387,6,355,0,428
2010,2,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4560,967,193.6,27.52,552.33,0,193.55,201,9,60638,15059,2921,29167,0,13491
2010,2,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",111,39,0.54,1,36.56,0,0.91,1,0,1447,14,19,1390,0,24
2010,2,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",139,37,7.79,2,21.89,0,5.31,8,0,2993,809,432,1420,0,332
2010,2,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",301,52,13.83,0,33.11,1.09,3.97,17,0,3152,871,0,1992,40,249
2010,2,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",442,106,23.18,18.09,47.52,0,17.22,20,1,5615,1882,897,1917,0,919
2010,2,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",167,37,10.7,1,11.11,0,14.19,9,0,2428,864,21,553,0,990
2010,2,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6001,1382,148.49,38.59,683.01,0,511.91,224,8,81853,17316,3975,33392,0,27170
2010,2,OH,Comair Inc.,ORD,"Chicago, IL: Chicago O'Hare International",154,38,16.05,7.81,13.31,0,0.83,17,0,2802,1109,789,849,0,55
2010,2,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",3902,1011,86.7,10.03,500.52,3.64,410.11,190,4,58534,5396,788,27768,99,24483
2010,2,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4694,644,134.48,11.81,273.92,0,223.8,314,5,34779,7987,814,10549,0,15429
2010,2,US,US Airways Inc.,ORD,"Chicago, IL: Chicago O'Hare International",524,140,32.35,0.65,74.11,0.41,32.48,25,0,8594,2110,35,4481,29,1939
2010,2,XE,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1063,284,48.58,8.13,138.55,1,87.74,59,1,19068,4706,667,7385,29,6281
2010,2,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1594,365,39,6,181.14,1,137.86,81,2,23612,2953,514,10304,37,9804
2010,3,9E,Pinnacle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",58,16,5.48,1.14,5.41,0,3.97,1,1,1190,302,103,429,0,356
2010,3,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5139,1137,240.11,23.3,598.21,0.24,275.14,55,18,79018,18992,1732,34786,17,23491
2010,3,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",124,38,7.22,0,30.18,0,0.6,0,0,2028,462,0,1557,0,9
2010,3,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",155,36,13.58,0,16.72,0,5.71,3,0,2240,812,0,1039,0,389
2010,3,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",317,58,19.74,2.47,26.14,1.19,8.45,1,1,2280,713,92,973,27,475
2010,3,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",475,81,34.21,4.21,22.11,0,20.47,12,1,5505,2110,160,1410,0,1825
2010,3,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",277,39,17.23,0,8.98,0,12.79,5,1,3495,1660,0,624,0,1211
2010,3,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6690,1063,137.3,47.26,512.3,1.69,364.44,107,11,72647,15248,5197,29604,44,22554
2010,3,OH,Comair Inc.,ORD,"Chicago, IL: Chicago O'Hare International",182,44,20.48,5.83,16.93,0,0.76,5,0,3072,1265,486,1271,0,50
2010,3,OO,SkyWest Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4280,924,77.63,13.6,415.73,0.31,416.73,108,10,64119,5658,1486,28866,5,28104
2010,3,UA,United Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",5309,764,144.26,2.17,337.74,0,279.83,82,8,44144,8458,131,17364,0,18191
2010,3,US,US Airways Inc.,ORD,"Chicago, IL: Chicago O'Hare International",563,121,36.54,0,53.85,1.09,29.52,5,2,5915,1668,0,2554,18,1675
2010,3,XE,ExpressJet Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1713,344,69.12,5.91,134.78,1.98,132.21,31,10,27156,6039,570,9713,39,10795
2010,3,YV,Mesa Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",1772,325,48,5,132,0,140,62,3,23417,3534,468,10934,0,8481
2010,4,9E,Pinnacle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",71,15,2.67,0,9.63,0,2.7,0,0,1016,216,0,649,0,151
2010,4,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4750,909,183.77,12.57,514.14,0.96,197.56,40,13,59542,14748,1668,29275,34,13817
2010,4,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",120,34,1.31,0,32.69,0,0,0,0,1501,60,0,1441,0,0
2010,4,B6,JetBlue Airways,ORD,"Chicago, IL: Chicago O'Hare International",151,20,6.14,0,12,0,1.87,2,0,1704,412,0,1231,0,61
2010,4,CO,Continental Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",294,56,15.54,0.43,33.12,0,6.9,0,0,3778,548,19,2906,0,305
2010,4,DL,Delta Air Lines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",423,108,32.59,11.04,46.39,0,17.98,6,0,5480,1669,536,2485,0,790
2010,4,EV,Atlantic Southeast Airlines,ORD,"Chicago, IL: Chicago O'Hare International",254,43,22.85,0.85,8.87,0,10.44,5,1,3583,1853,33,443,0,1254
2010,4,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6487,1281,165.02,23.34,541.81,0.14,550.69,131,6,79294,12630,2203,33168,4,31289
